Properties / Units Id,Unit Code,Properties / Units Owner,Status,Created Time,Modified Time,Tag,Unit Name,Unit Types,Property Details,Building Name,Property Description,Ref.No,Community,Sub Community,Country,State,City,Covered Area,Other Area,Handover Date,Possession Status,Maintenance fee,Private Amenities,Geopoints
odoo_474218,1,A.M. Jebra,false,2020-04-08 07:58:05,2023-02-02 12:42:41,Freehold,Academic City,Villa,For Lease,Academic City,AA,1,Abu Dhabi Island,Abu Dhabi Island,United Arab Emirates,Abu Dhabi,Abu Dhabi,2.0,21,2022-04-04,Under Construction,qwe,60;61,"24.478023,54.6040121"
odoo_474220,3,,false,2020-04-08 07:58:05,2023-09-06 11:47:59,Freehold,Block 8 Academic City,,For Lease,Block 8 Academic City,,3,Academic City,Academic City,United Arab Emirates,Dubai,Dubai,0.0,False,,Ready,,,"25.113106,55.4084034"
odoo_474225,9,,false,2020-04-08 07:58:05,2022-01-19 10:27:08,Freehold,Almasa 1,,For Lease,Almasa 1,,9,Al Furjan,Phase 1,United Arab Emirates,Dubai,Dubai,0.0,False,,Ready,,,"25.029861,55.137667"
odoo_474227,11,,false,2020-04-08 07:58:05,2021-06-16 11:44:47,Freehold,Dubai,,For Lease,Dubai,,11,Al Furjan,Phase 1,United Arab Emirates,Dubai,Dubai,0.0,False,,Ready,,,"25.029861,55.137667"
odoo_474228,12,,false,2020-04-08 07:58:05,2020-11-07 07:52:41,Freehold,Feirouz 1,,For Lease,Feirouz 1,,12,Al Furjan,Phase 2,United Arab Emirates,Dubai,Dubai,0.0,False,,Ready,,,
odoo_474229,13,,false,2020-04-08 07:58:05,2023-09-27 08:02:54,Freehold,Feirouz 2,,For Lease,Feirouz 2,,13,Al Furjan,Phase 2,United Arab Emirates,Dubai,Dubai,0.0,False,,Ready,,,"25.0251668,55.137667"
odoo_480860,2869,,false,2020-04-08 13:28:42,2024-10-30 10:19:39,Freehold,Oasis Residences One ,,For Lease,Oasis Residences One ,"

For More Information Don't Hesitate to Get in Touch with Fine Home Real Estate: ☎ 026592300
Commercial License Number: CN-1149643
(RERA) License No.: 202401101466
ORN: 53733
Primary email to - info@finehomeint.com



Overview:
This 9-story residential building tells the story of an incredibly unique city and one of the most sustainable urban communities in the world. Consisting of 612 apartments, 612 families and bachelors will get the opportunity to experience an exceptional lifestyle in a resort-like community with a cooler climate than the surrounding desert. This development prides itself on being awarded a 3 Pearl building rating for surpassing the Estidama Energy and Sustainability regulations. The plot is placed at a special location facing two main roads, Boulevard Road on the North West side and Airport Road on the North East side, and two low-traffic roads from the southeast and southwest sides at the entrance of Masdar City. With exceptional facilities, serene views, and landscape, life’s beauty is always within reach. 

Fine Home Real Estate:
Fine Home Real Estate is a multi-awarded Real Estate Regulatory Agency (RERA) registered company. Established in 2004 with a solid UAE and international client base. Our service focuses on all aspects of property selling, buying, and leasing both residential and commercial.


لمزيد من المعلومات يمكنكم التواصل مع  شركه فاين هوم  : 026592300
رخصة التسجيل العقاري: 53733
البريد الإلكتروني الرئيسي | info@finehomeint.com
لمزيد من المعلومات زوروا موقعنا | www.finehomeint.com
يمكنك أيضًا زيارة | Facebook https://www.facebook.com/finehomeint 
| Instagram: @wahwahwahinint 
| YouTube: https://www.youtube.com/channel/UCBHOe70UyD9jk51eaY5VUIA

الواحة ريزيدنس:
• يقع هذا المشروع في موقع مثالي ، ويحتل مكان الصدارة على ""الحزام الأخضر"" ، وهي منطقة ذات مناظر طبيعية خلابة تتخلل وسط الحي السكني في مدينة مصدر. يقع بين هذه الواحة الخضراء ومركز التسوق ، ويسمح الموقع بالوصول المريح إلى جميع المرافق الترفيهية والترفيهية التي توفرها مدينة مصدر. يبعد المشروع 25 دقيقة فقط عن أبو ظبي مول و 50 دقيقة فقط من دبي
• سهولة الوصول إلى مطار أبوظبي الدولي وجميع مناطق الترفيه والمعالم السياحية في جزيرة ياس.

فاين هوم العقاريه :
شركة فاين هوم العقارية هي شركة مسجلة تابعة لوكالة تنظيم العقارات (RERA). 
تأسست الشركة منذ عام 2004 وهي في مجال العقارات ، وهي تتمتع بقاعدة عملاء محلية قوية وعالمية .
تركز خدمتنا على جميع جوانب بيع وشراء وتأجير العقارات السكنية والتجارية. لمختلف العروض العقارية وأفضل الصفقات.",2869,Masdar City,Oasis Residences,United Arab Emirates,Abu Dhabi,Abu Dhabi,0.0,False,,Under Construction,,72;82;85;92;96;130;131;132;133;135;139;144;148;149;151;152;153;156;158,"24.4266734,54.614979"
odoo_484923,3544,,false,2020-04-08 14:11:28,2024-10-16 06:58:46,Freehold,The Gate Tower 3,Apartment,For Lease,The Gate Tower 3,"For More Information Don't Hesitate to Get in Touch with Fine Home Real Estate: ☎ 026592300
Commercial License Number: CN-1149643
(RERA) License No.: 202401101466
ORN: 53733
Primary email to - info@finehomeint.com

Gate Towers Overview:
The Gate Towers are a mixed-use project of three rising and The Arc Tower, together with a retail and leisure podium. The Towers have 3533 residential units ranging from apartments, penthouses, townhouses, offices, shopping malls, a 5-star International hotel, and a connected apartment complex. These towers are topped with the Penthouses Bridge, deemed to be the highest of its kind worldwide for residential architecture.


Fine Home Real Estate:
Fine Home Real Estate is a multi-awarded Real Estate Regulatory Agency (RERA) registered company. We were established in 2004 with a solid UAE and International client base. Our service focuses on all aspects of Property Selling, Buying, and Leasing both Residential and Commercial. 



لمزيد من المعلومات يمكنكم التواصل مع  شركه فاين هوم  : 026592300
رخصة التسجيل العقاري: 53733

نظرة عامة على أبراج الجيت :
أبراج البوابة هي مشروع متعدد الاستخدامات مكون من ثلاثة أبراج مرتفعة وبرج القوس ، إلى جانب منصة للبيع بالتجزئة والترفيه. تضم الأبراج 3533 وحدة سكنية تتنوع بين شقق وبنتهاوس وتاون هاوس ومكاتب ومراكز تسوق وفندق عالمي 5 نجوم ومجمع سكني متصل. يعلو هذه الأبراج جسر البنتهاوس ، الذي يعتبر الأعلى من نوعه في العالم للهندسة المعمارية السكنية.

فاين هوم العقاريه :
شركة فاين هوم العقارية هي شركة مسجلة تابعة لوكالة تنظيم العقارات (RERA)
تأسست الشركة منذ عام 2004  وهي تتمتع بقاعدة عملاء محلية قوية وعالمية تركز خدمتنا على جميع جوانب بيع وشراء وتأجير العقارات السكنية والتجارية. لمختلف العروض العقارية وأفضل الصفقات
البريد الإلكتروني الرئيسي | info@finehomeint.com
لمزيد من المعلومات زوروا موقعنا | www.finehomeint.com
يمكنك أيضًا زيارة | Facebook https://www.facebook.com/finehomeint
انستجرام |  finehomeint 
يوتيوب | https://www.youtube.com/channel/UCBHOe70UyD9jk51eaY5VUIA",3544,Al Reem Island,Shams Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi,0.0,False,,Ready,,78;82;85;131;132;133;135;136;137;138;144;145;148;149;150;151;152;153;158,"24.5043484,54.4109627"
odoo_484929,3522,,false,2020-04-08 14:11:28,2024-08-29 08:20:25,Freehold,Beach Towers,,For Lease,Beach Towers,"For More Information Don't Hesitate to Get in Touch with Fine Home Real Estate: ☎ 026592300
Commercial License Number: CN-1149643
(RERA) License No.: 202401101466
ORN: 53733
Visit our website at - https://www.finehomeint.com
Primary email to - info@finehomeint.com
You can also visit our Facebook- https://www.facebook.com/finehomeint
*Instagram: @finehomeint
*YouTube: https://www.youtube.com/channel/UCBHOe70UyD9jk51eaY5VUIA



Al Beach Towers:
These towers are located on Al Reem Island precisely in Shams Abu Dhabi in an Amazing Location allowing all units to overlook a breathtaking view of the new public beach and a beautiful pool. The whole tower consists of 2 bedrooms and 3-bedroom room units with sizes ranging between 1,746 sq. ft- 2,023 sq. ft and 2,096 sq	     
		
Fine Home Real Estate:
Fine Home Real Estate is a multi-awarded Real Estate Regulatory Agency (RERA) registered company. We were established in 2004 with a solid UAE and international client base. Our service focuses on all aspects of residential and commercial property selling, buying, and leasing.



لمزيد من المعلومات يمكنكم التواصل مع شركه فاين هوم  : 026592300
رخصة التسجيل العقاري : 53733


بيتش تاورز:
تقع هذه الأبراج في جزيرة الريم على وجه التحديد في مشروع شمس أبوظبي في موقع مذهل يتيح لجميع الوحدات أن تتمتع بمنظر رائع للشاطئ العام الجديد وحمام سباحة .
 ويتكون البرج كله من وحدات تتكون من غرفتي نوم و3 غرف نوم ذات أحجام تتراوح ما بين 1,746_ 2,023 قدم مربع و 2,340 _ 2,096 قدم مربع .

* وسائل الراحة :
- حمام سباحة
- قاعة رياضية
- ساونا
- جاكوزي
- غرفة بخار
- موقف سيارات 
- أمن


فاين هوم العقاريه :
شركة فاين هوم العقارية هي شركة مسجلة تابعة لوكالة تنظيم العقارات (RERA)
تأسست الشركة منذ عام 2004  وهي تتمتع بقاعدة عملاء محلية قوية وعالمية تركز خدمتنا على جميع جوانب بيع وشراء وتأجير العقارات السكنية والتجارية. لمختلف العروض العقارية وأفضل الصفقات
البريد الإلكتروني الرئيسي | info@finehomeint.com
لمزيد من المعلومات زوروا موقعنا | www.finehomeint.com
يمكنك أيضًا زيارة | Facebook https://www.facebook.com/finehomeint
انستجرام |  finehomeint 
يوتيوب | https://www.youtube.com/channel/UCBHOe70UyD9jk51eaY5VUIA",3522,Al Reem Island,Shams Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi,0.0,False,,Ready,,52;53;55;63;64;65;71;78;82;83;84;85;87;90;92;96;97;130;131;132;134;135;136;137;138;139;140;141;143;144;145;146;148;149;150;151;152;153;154;156;157;158,"24.5043484,54.4109627"
odoo_484930,PR522277,,false,2020-04-08 14:11:28,2024-10-28 09:49:59,Freehold,Mangrove Place,,For Lease,Mangrove Place,"
For More Information Don't Hesitate to Get in Touch with Fine Home Real Estate: ☎ 026592300
Commercial License Number: CN-1149643
(RERA) License No.: 202401101466
ORN: 53733
Primary email to - info@finehomeint.com


Mangrove Place-Overview 
New tower Located northeast of the capital city, Shams Abu Dhabi the Sorouh Real Estate development portion in Reem Island will be approximately a five-minute drive from the Tourist club area via a newly-built bridge. 

Fine Home Real Estate:
Fine Home Real Estate is a multi-awarded Real Estate Regulatory Agency (RERA) registered company. We were established in 2004 with a solid UAE and international client base. Our service focuses on all aspects of residential and commercial property selling, buying, and leasing.


لمزيد من المعلومات يمكنكم التواصل مع شركه فاين هوم  : 026592300
رخصة التسجيل العقاري : 53733
البريد الإلكتروني الرئيسي | info@finehomeint.com
لمزيد من المعلومات زوروا موقعنا | www.finehomeint.com
يمكنك أيضًا زيارة | Facebook https://www.facebook.com/finehomeint
انستجرام |  finehomeint 
يوتيوب | https://www.youtube.com/channel/UCBHOe70UyD9jk51eaY5VUIA
الرخصة التجارية : CN-1149643
رخصة (RERA): 202401101466

برج مانجروف :
هو مبنى يقع في شمس أبو ظبي ، جزيرة الريم. إنه مجمع سكني مكون من 29 طابقًا يوفر شقق ومنازل من غرفة نوم واحدة وغرفتين وثلاث و 4 غرف نوم. يقع بجوار سكاي تاورز وعلى مقربة من مول شمس بوتيك ومجمعات التسوق الأخرى في المنطقة المجاورة.



فاين هوم العقاريه :
شركة فاين هوم العقارية هي شركة مسجلة تابعة لوكالة تنظيم العقارات (RERA)
تأسست الشركة منذ عام 2004  وهي تتمتع بقاعدة عملاء محلية قوية وعالمية تركز خدمتنا على جميع جوانب بيع وشراء وتأجير العقارات السكنية والتجارية. لمختلف العروض العقارية وأفضل الصفقات",PR522277,Al Reem Island,Shams Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi,0.0,False,,Ready,,52;53;78;82;130;131;132;135;136;137;144;145;148;149;150;151;152;153;158,"24.4963008074,54.5779340227"
